trial_global_id,condition,stimulus_id,stimulus_text,n_siblings,n_condition,corr_loo,rms_resid,max_abs_z,p99_abs_z,frac_abs_gt3,frac_abs_gt5,spatial_std,frac_out_sib_clim,rz_corr_loo,rz_rms_resid,rz_max_abs_z,rz_p99_abs_z,rz_frac_abs_gt3,rz_frac_abs_gt5,rz_spatial_std,rz_frac_out_sib_clim,rank_corr_low,rank_rms_high,pct_corr_low,pct_rms_high,flag,why
3015,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,-0.4948847416327542,5.426432644622209,16.183191299438477,11.655916128158573,0.4905,0.3512,5.0442097244243485,0.426,3.031683924142502,6.833923062268226,3.913838351434363,6.060928999665782,10.723934679317113,236.20666396870365,7.622264754360717,286.65857277755293,1.0,1.0,0.03571428571428571,0.03571428571428571,outlier,corr bottom 4% (rank 1/28); corr rz=3.0; rms rz=6.8; rms rank 1; p99|z| rz=6.1; max|z| rz=3.9; frac>|5| rz=236.2; out_clim=0.426 rz=286.7
2999,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,-0.42549928520822883,3.025039690867329,14.455815315246582,8.84836373329163,0.232,0.1036,2.845380657942627,0.1036,2.731098628383853,2.9349976056351244,3.214494281684816,3.93067343671975,4.6699117166539255,69.20275192229866,3.335645979450238,69.20275192229866,2.0,2.0,0.07142857142857142,0.07142857142857142,outlier,corr bottom 7% (rank 2/28); corr rz=2.7; rms rz=2.9; rms rank 2; p99|z| rz=3.9; max|z| rz=3.2; frac>|5| rz=69.2; out_clim=0.104 rz=69.2
2994,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,-0.20930025298065016,1.7836614004881934,9.115342140197754,4.969261393547063,0.0966,0.0095,1.6725881476028508,0.0075,1.7945010560157895,0.919483480759028,1.052354551361907,0.9873697414491027,1.4988683543924335,5.73317145555106,1.0492861752563962,4.384189936597869,3.0,5.0,0.10714285714285714,0.17857142857142858,outlier,corr bottom 11% (rank 3/28); frac>|5| rz=5.7; out_clim=0.007 rz=4.4
3011,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,-0.08513395561087259,1.5396137885011856,7.670055866241455,4.029981479644776,0.0436,0.0026,1.3395714379329022,0.0018,1.256599237084196,0.5232453534176297,0.4672170977723751,0.27468268157015624,0.2576179984111994,1.0791852151625523,0.40006987109218134,0.5395926075812761,4.0,7.0,0.14285714285714285,0.25,,corr bottom 14% (rank 4/28)
2995,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,-0.008737442207109319,1.344908615698121,5.882693767547607,3.539441576004029,0.0247,0.0009,1.291837283106962,0.0009,0.9256412848023844,0.20712010053346372,-0.25641290267678374,-0.09751887038956591,-0.1850165624953161,-0.06744907594765955,0.30701210348282265,-0.06744907594765955,5.0,10.0,0.17857142857142858,0.35714285714285715,,
2996,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.038382971884050085,2.7567314181726656,13.450774192810059,8.79346067428589,0.2181,0.0966,2.7184763313056854,0.1044,0.7215105586282635,2.49936962854843,2.807594130668053,3.889015248226612,4.344376245934319,64.4813166059625,3.088245907533912,69.74234452987994,6.0,3.0,0.21428571428571427,0.10714285714285714,amp_clim_only,rms rz=2.5; rms rank 3; p99|z| rz=3.9; max|z| rz=2.8; frac>|5| rz=64.5; out_clim=0.104 rz=69.7
2993,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.041731888536535096,0.9377832819338168,6.227625370025635,2.87054421424866,0.008,0.0003,0.8923423834483412,0.0002,0.7070026897702811,-0.45389263600008445,-0.11676416790809502,-0.6050507435344764,-0.5761275237195916,-0.4721435316336167,-0.47180347771090436,-0.5395926075812761,7.0,17.0,0.25,0.6071428571428571,,
3018,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.07339913868383031,1.285380659892328,8.225020408630371,4.18598771095276,0.0374,0.0048,1.2123096895793397,0.0018,0.5698167398336121,0.11046992009980078,0.6918996018668885,0.39305380892852143,0.11241512657943248,2.5630648860110616,0.1519730052938827,0.5395926075812761,8.0,13.0,0.2857142857142857,0.4642857142857143,,frac>|5| rz=2.6
3016,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.07848668812113539,0.9270164908893428,5.098882675170898,2.408497738838198,0.0029,0.0001,0.831360466145243,0.0,0.5477769258567083,-0.47137370490382613,-0.5737460393384032,-0.9556326512425214,-0.6955685957102388,-0.6070416835289356,-0.5906877673659284,-0.6744907594765952,9.0,18.0,0.32142857142857145,0.6428571428571429,,
3001,condAN1,black_point_0.1,cond1: black point 0.1 diameter,27,28,0.0900759609219171,1.4020188630135029,9.136601448059082,3.9674494791030908,0.0422,0.0012,1.3115981008925501,0.0012,0.49757094362410725,0.29984486544309025,1.0609615778667678,0.22723596525611156,0.22483025315886496,0.13489815189531895,0.345535831324398,0.13489815189531895,10.0,9.0,0.35714285714285715,0.32142857142857145,,
